keyword,nhom_adgroup,intent_tier,loai_hinh,khu_vuc,match_type,uu_tien,ghi_chu,ngay_them,vol_thang,canh_tranh,bid_thap_d,bid_cao_d,ngay_do_volume
blanca city,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group",2026-08-06,12100,LOW,8897,30582,2026-08-06
blanca city giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group,2026-08-06,110,LOW,7991,37532,2026-08-06
blanca city bảng giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city giá bao nhiêu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group,2026-08-06,10,MEDIUM,5104,29584,2026-08-06
blanca city mở bán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group,2026-08-06,20,MEDIUM,6493,60890,2026-08-06
blanca city mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city chủ đầu tư,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vị trí,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group,2026-08-06,30,LOW,8295,24441,2026-08-06
blanca city mặt bằng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city tiện ích,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city chính sách bán hàng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city tiến độ thanh toán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city pháp lý,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city có nên mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city nhà mẫu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city trả góp,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city chiết khấu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city lãi suất,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city tiến độ xây dựng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city review,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city đánh giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city bàn giao khi nào,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,4400,LOW,9041,37392,2026-08-06
blanca city vũng tàu giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'blanca city',2026-08-06,70,MEDIUM,9041,39513,2026-08-06
blanca city vũng tàu bảng giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu giá bao nhiêu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu mở bán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu chủ đầu tư,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu vị trí,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu mặt bằng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu tiện ích,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu chính sách bán hàng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu tiến độ thanh toán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu pháp lý,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu có nên mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu nhà mẫu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu trả góp,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu chiết khấu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu lãi suất,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu tiến độ xây dựng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu review,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu đánh giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city vũng tàu bàn giao khi nào,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,480,LOW,11054,42616,2026-08-06
blanca city sun group giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group bảng giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group giá bao nhiêu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group mở bán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group chủ đầu tư,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group vị trí,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group mặt bằng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group tiện ích,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group chính sách bán hàng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group tiến độ thanh toán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group pháp lý,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group có nên mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group nhà mẫu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group trả góp,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group chiết khấu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group lãi suất,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group tiến độ xây dựng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group review,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group đánh giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
blanca city sun group bàn giao khi nào,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city bảng giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city giá bao nhiêu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city mở bán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city chủ đầu tư,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city vị trí,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city mặt bằng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city tiện ích,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city chính sách bán hàng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city tiến độ thanh toán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city pháp lý,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city có nên mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city nhà mẫu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city trả góp,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city chiết khấu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city lãi suất,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city tiến độ xây dựng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city review,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city đánh giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
đại đô thị blanca city bàn giao khi nào,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,1300,LOW,9867,37059,2026-08-06
sun blanca city giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city bảng giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city giá bao nhiêu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city mở bán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city chủ đầu tư,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city vị trí,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city mặt bằng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city tiện ích,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city chính sách bán hàng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city tiến độ thanh toán,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city pháp lý,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city có nên mua,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'blanca city'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city nhà mẫu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city trả góp,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city chiết khấu,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city lãi suất,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city tiến độ xây dựng,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city review,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city đánh giá,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
sun blanca city bàn giao khi nào,brand-blanca-city,T1_brand_du_an,khu đô thị,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'blanca city',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
