keyword,vol_thang,canh_tranh,bid_thap_d,bid_cao_d
thuê căn hộ sơn thịnh vũng tàu,10,MEDIUM,2640,8201
thuê căn hộ vung tàu,10,HIGH,1706,6768
thuê căn hộ vũng tàu melody,10,UNSPECIFIED,0,0
thuê phòng melody vũng tàu,10,MEDIUM,0,0
tiến độ dự an vũng tàu pearl,10,MEDIUM,0,0
vung tau gateway,10,LOW,0,0
vung tau pearl hung thinh land,10,LOW,0,0
vung tàu pearl,10,UNSPECIFIED,0,0
vũng tàu pearl mặt bằng,10,LOW,0,0
vũng tàu pearl thi sách,10,UNSPECIFIED,0,0
vị trí vũng tàu pearl,10,UNSPECIFIED,0,0
